location_name,cause_name,year,Metric,Value,Income,Out of Pocket Expense,oops_che,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
japan,Liver cancer due to hepatitis B,2019,All Age Deaths,2879.1,High,12.9,576,,,,,,,,,
japan,Liver cancer due to hepatitis C,2019,All Age Deaths,21597.0,High,12.9,576,,,,,,,,,
japan,Liver cancer due to other causes,2019,All Age Deaths,678.4,High,12.9,576,,,,,,,,,
japan,Other chronic respiratory diseases,2019,All Age Deaths,743.0,High,12.9,576,,,,,,,,,
japan,Other leukemia,2019,All Age Deaths,3074.0,High,12.9,576,,,,,,,,,
japan,Other malignant neoplasms,2019,All Age Deaths,10230.9,High,12.9,576,,,,,,,,,
japan,Ovarian cancer,2019,All Age Deaths,5693.1,High,12.9,576,,,,,,,,,
japan,Pancreatic cancer,2019,All Age Deaths,41212.6,High,12.9,576,,,,,,,,,
japan,Prostate cancer,2019,All Age Deaths,15152.4,High,12.9,576,,,,,,,,,
japan,Pulmonary Arterial Hypertension,2019,All Age Deaths,984.6,High,12.9,576,,,,,,,,,
japan,Pulmonary aspiration and foreign body in airway,2019,All Age Deaths,8218.1,High,12.9,576,,,,,,,,,
japan,Rheumatic heart disease,2019,All Age Deaths,4576.0,High,12.9,576,,,,,,,,,
japan,Stomach cancer,2019,All Age Deaths,57048.0,High,12.9,576,,,,,,,,,
japan,Testicular cancer,2019,All Age Deaths,107.7,High,12.9,576,,,,,,,,,
japan,Thyroid cancer,2019,All Age Deaths,2236.4,High,12.9,576,,,,,,,,,
japan,Uterine cancer,2019,All Age Deaths,3461.5,High,12.9,576,,,,,,,,,
canada,Acute lymphoid leukemia,2019,All Age Deaths,215.0,High,15.5,791,,,,,,,,,
canada,Acute myeloid leukemia,2019,All Age Deaths,1763.2,High,15.5,791,,,,,,,,,
canada,Bladder cancer,2019,All Age Deaths,2780.9,High,15.5,791,,,,,,,,,
canada,Brain and central nervous system cancer,2019,All Age Deaths,2604.3,High,15.5,791,,,,,,,,,
canada,Breast cancer,2019,All Age Deaths,6282.0,High,15.5,791,,,,,,,,,
canada,Cervical cancer,2019,All Age Deaths,787.2,High,15.5,791,,,,,,,,,
canada,Chronic hepatitis B including cirrhosis,2019,All Age Deaths,242.3,High,15.5,791,,,,,,,,,
canada,Chronic hepatitis C including cirrhosis,2019,All Age Deaths,2255.3,High,15.5,791,,,,,,,,,
canada,Chronic kidney disease due to diabetes mellitus type 1,2019,All Age Deaths,78.0,High,15.5,791,,,,,,,,,
canada,Chronic kidney disease due to diabetes mellitus type 2,2019,All Age Deaths,2002.3,High,15.5,791,,,,,,,,,
canada,Chronic kidney disease due to glomerulonephritis,2019,All Age Deaths,950.7,High,15.5,791,,,,,,,,,
canada,Chronic kidney disease due to hypertension,2019,All Age Deaths,4049.5,High,15.5,791,,,,,,,,,
canada,Chronic kidney disease due to other and unspecified causes,2019,All Age Deaths,866.7,High,15.5,791,,,,,,,,,
canada,Chronic lymphoid leukemia,2019,All Age Deaths,808.6,High,15.5,791,,,,,,,,,
canada,Chronic myeloid leukemia,2019,All Age Deaths,192.3,High,15.5,791,,,,,,,,,
canada,Chronic obstructive pulmonary disease,2019,All Age Deaths,15441.1,High,15.5,791,,,,,,,,,
canada,Esophageal cancer,2019,All Age Deaths,2698.6,High,15.5,791,,,,,,,,,
canada,Ischemic heart disease,2019,All Age Deaths,42239.3,High,15.5,791,,,,,,,,,
canada,Ischemic stroke,2019,All Age Deaths,10921.8,High,15.5,791,,,,,,,,,
canada,Kidney cancer,2019,All Age Deaths,2265.1,High,15.5,791,,,,,,,,,
canada,Larynx cancer,2019,All Age Deaths,451.0,High,15.5,791,,,,,,,,,
canada,Lip and oral cavity cancer,2019,All Age Deaths,997.9,High,15.5,791,,,,,,,,,
canada,Liver cancer due to NASH,2019,All Age Deaths,469.2,High,15.5,791,,,,,,,,,
canada,Liver cancer due to alcohol use,2019,All Age Deaths,1523.6,High,15.5,791,,,,,,,,,
canada,Liver cancer due to hepatitis B,2019,All Age Deaths,189.2,High,15.5,791,,,,,,,,,
canada,Liver cancer due to hepatitis C,2019,All Age Deaths,703.2,High,15.5,791,,,,,,,,,
canada,Liver cancer due to other causes,2019,All Age Deaths,140.2,High,15.5,791,,,,,,,,,
canada,Other chronic respiratory diseases,2019,All Age Deaths,203.9,High,15.5,791,,,,,,,,,
canada,Other leukemia,2019,All Age Deaths,321.4,High,15.5,791,,,,,,,,,
canada,Other malignant neoplasms,2019,All Age Deaths,1644.1,High,15.5,791,,,,,,,,,
canada,Ovarian cancer,2019,All Age Deaths,2057.9,High,15.5,791,,,,,,,,,
canada,Pancreatic cancer,2019,All Age Deaths,6100.8,High,15.5,791,,,,,,,,,
canada,Prostate cancer,2019,All Age Deaths,5627.9,High,15.5,791,,,,,,,,,
canada,Pulmonary Arterial Hypertension,2019,All Age Deaths,97.3,High,15.5,791,,,,,,,,,
canada,Pulmonary aspiration and foreign body in airway,2019,All Age Deaths,565.3,High,15.5,791,,,,,,,,,
canada,Rheumatic heart disease,2019,All Age Deaths,806.3,High,15.5,791,,,,,,,,,
canada,Stomach cancer,2019,All Age Deaths,3018.2,High,15.5,791,,,,,,,,,
canada,Testicular cancer,2019,All Age Deaths,52.4,High,15.5,791,,,,,,,,,
canada,Thyroid cancer,2019,All Age Deaths,277.1,High,15.5,791,,,,,,,,,
canada,Uterine cancer,2019,All Age Deaths,1192.9,High,15.5,791,,,,,,,,,
united states,Acute lymphoid leukemia,2019,All Age Deaths,2207.4,High,11.3,"1,205",,,,,,,,,
united states,Acute myeloid leukemia,2019,All Age Deaths,15979.8,High,11.3,"1,205",,,,,,,,,
united states,Bladder cancer,2019,All Age Deaths,20575.9,High,11.3,"1,205",,,,,,,,,
united states,Brain and central nervous system cancer,2019,All Age Deaths,20809.3,High,11.3,"1,205",,,,,,,,,
united states,Breast cancer,2019,All Age Deaths,51800.5,High,11.3,"1,205",,,,,,,,,
united states,Cervical cancer,2019,All Age Deaths,7105.8,High,11.3,"1,205",,,,,,,,,
united states,Chronic hepatitis B including cirrhosis,2019,All Age Deaths,3275.3,High,11.3,"1,205",,,,,,,,,
united states,Chronic hepatitis C including cirrhosis,2019,All Age Deaths,24529.3,High,11.3,"1,205",,,,,,,,,
united states,Chronic kidney disease due to diabetes mellitus type 1,2019,All Age Deaths,3040.8,High,11.3,"1,205",,,,,,,,,
united states,Chronic kidney disease due to diabetes mellitus type 2,2019,All Age Deaths,51779.4,High,11.3,"1,205",,,,,,,,,
united states,Chronic kidney disease due to glomerulonephritis,2019,All Age Deaths,13533.2,High,11.3,"1,205",,,,,,,,,
united states,Chronic kidney disease due to hypertension,2019,All Age Deaths,52857.2,High,11.3,"1,205",,,,,,,,,
united states,Chronic kidney disease due to other and unspecified causes,2019,All Age Deaths,7858.8,High,11.3,"1,205",,,,,,,,,
united states,Chronic lymphoid leukemia,2019,All Age Deaths,6233.6,High,11.3,"1,205",,,,,,,,,
united states,Chronic myeloid leukemia,2019,All Age Deaths,1812.9,High,11.3,"1,205",,,,,,,,,
united states,Chronic obstructive pulmonary disease,2019,All Age Deaths,189914.1,High,11.3,"1,205",,,,,,,,,
united states,Esophageal cancer,2019,All Age Deaths,20424.3,High,11.3,"1,205",,,,,,,,,
united states,Ischemic heart disease,2019,All Age Deaths,476087.6,High,11.3,"1,205",,,,,,,,,
united states,Ischemic stroke,2019,All Age Deaths,112214.0,High,11.3,"1,205",,,,,,,,,
united states,Kidney cancer,2019,All Age Deaths,17173.9,High,11.3,"1,205",,,,,,,,,
united states,Larynx cancer,2019,All Age Deaths,4451.6,High,11.3,"1,205",,,,,,,,,
united states,Lip and oral cavity cancer,2019,All Age Deaths,7613.5,High,11.3,"1,205",,,,,,,,,
united states,Liver cancer due to NASH,2019,All Age Deaths,2677.1,High,11.3,"1,205",,,,,,,,,
united states,Liver cancer due to alcohol use,2019,All Age Deaths,7110.0,High,11.3,"1,205",,,,,,,,,
united states,Liver cancer due to hepatitis B,2019,All Age Deaths,2539.2,High,11.3,"1,205",,,,,,,,,
united states,Liver cancer due to hepatitis C,2019,All Age Deaths,9132.7,High,11.3,"1,205",,,,,,,,,
united states,Liver cancer due to other causes,2019,All Age Deaths,1908.3,High,11.3,"1,205",,,,,,,,,
united states,Other chronic respiratory diseases,2019,All Age Deaths,2668.6,High,11.3,"1,205",,,,,,,,,
united states,Other leukemia,2019,All Age Deaths,2554.9,High,11.3,"1,205",,,,,,,,,
united states,Other malignant neoplasms,2019,All Age Deaths,11426.1,High,11.3,"1,205",,,,,,,,,
united states,Ovarian cancer,2019,All Age Deaths,16592.5,High,11.3,"1,205",,,,,,,,,
united states,Pancreatic cancer,2019,All Age Deaths,54546.5,High,11.3,"1,205",,,,,,,,,
united states,Prostate cancer,2019,All Age Deaths,41950.2,High,11.3,"1,205",,,,,,,,,
united states,Pulmonary Arterial Hypertension,2019,All Age Deaths,1742.9,High,11.3,"1,205",,,,,,,,,
united states,Pulmonary aspiration and foreign body in airway,2019,All Age Deaths,8167.2,High,11.3,"1,205",,,,,,,,,
united states,Rheumatic heart disease,2019,All Age Deaths,5076.6,High,11.3,"1,205",,,,,,,,,
united states,Stomach cancer,2019,All Age Deaths,15992.6,High,11.3,"1,205",,,,,,,,,
united states,Testicular cancer,2019,All Age Deaths,550.9,High,11.3,"1,205",,,,,,,,,
united states,Thyroid cancer,2019,All Age Deaths,2384.3,High,11.3,"1,205",,,,,,,,,
united states,Uterine cancer,2019,All Age Deaths,11342.0,High,11.3,"1,205",,,,,,,,,
germany,Acute lymphoid leukemia,2019,All Age Deaths,525.3,High,13.4,738,,,,,,,,,
germany,Acute myeloid leukemia,2019,All Age Deaths,5070.0,High,13.4,738,,,,,,,,,
germany,Bladder cancer,2019,All Age Deaths,8087.0,High,13.4,738,,,,,,,,,
germany,Brain and central nervous system cancer,2019,All Age Deaths,7226.7,High,13.4,738,,,,,,,,,
germany,Breast cancer,2019,All Age Deaths,21539.7,High,13.4,738,,,,,,,,,
germany,Cervical cancer,2019,All Age Deaths,2409.3,High,13.4,738,,,,,,,,,
germany,Chronic hepatitis B including cirrhosis,2019,All Age Deaths,1282.7,High,13.4,738,,,,,,,,,
germany,Chronic hepatitis C including cirrhosis,2019,All Age Deaths,3362.0,High,13.4,738,,,,,,,,,
germany,Chronic kidney disease due to diabetes mellitus type 1,2019,All Age Deaths,192.1,High,13.4,738,,,,,,,,,
germany,Chronic kidney disease due to diabetes mellitus type 2,2019,All Age Deaths,6521.3,High,13.4,738,,,,,,,,,
germany,Chronic kidney disease due to glomerulonephritis,2019,All Age Deaths,6320.5,High,13.4,738,,,,,,,,,
germany,Chronic kidney disease due to hypertension,2019,All Age Deaths,7650.9,High,13.4,738,,,,,,,,,
germany,Chronic kidney disease due to other and unspecified causes,2019,All Age Deaths,18003.3,High,13.4,738,,,,,,,,,
germany,Chronic lymphoid leukemia,2019,All Age Deaths,2448.6,High,13.4,738,,,,,,,,,
germany,Chronic myeloid leukemia,2019,All Age Deaths,839.3,High,13.4,738,,,,,,,,,
germany,Chronic obstructive pulmonary disease,2019,All Age Deaths,40857.4,High,13.4,738,,,,,,,,,
germany,Esophageal cancer,2019,All Age Deaths,7078.8,High,13.4,738,,,,,,,,,
germany,Ischemic heart disease,2019,All Age Deaths,151947.9,High,13.4,738,,,,,,,,,
germany,Ischemic stroke,2019,All Age Deaths,44175.3,High,13.4,738,,,,,,,,,
germany,Kidney cancer,2019,All Age Deaths,7699.1,High,13.4,738,,,,,,,,,
germany,Larynx cancer,2019,All Age Deaths,1599.8,High,13.4,738,,,,,,,,,
germany,Lip and oral cavity cancer,2019,All Age Deaths,2975.1,High,13.4,738,,,,,,,,,
germany,Liver cancer due to NASH,2019,All Age Deaths,661.4,High,13.4,738,,,,,,,,,
germany,Liver cancer due to alcohol use,2019,All Age Deaths,3585.6,High,13.4,738,,,,,,,,,
germany,Liver cancer due to hepatitis B,2019,All Age Deaths,695.6,High,13.4,738,,,,,,,,,
germany,Liver cancer due to hepatitis C,2019,All Age Deaths,2738.8,High,13.4,738,,,,,,,,,
germany,Liver cancer due to other causes,2019,All Age Deaths,377.8,High,13.4,738,,,,,,,,,
germany,Other chronic respiratory diseases,2019,All Age Deaths,357.1,High,13.4,738,,,,,,,,,
germany,Other leukemia,2019,All Age Deaths,792.9,High,13.4,738,,,,,,,,,
germany,Other malignant neoplasms,2019,All Age Deaths,6665.6,High,13.4,738,,,,,,,,,
germany,Ovarian cancer,2019,All Age Deaths,6211.7,High,13.4,738,,,,,,,,,
germany,Pancreatic cancer,2019,All Age Deaths,21881.4,High,13.4,738,,,,,,,,,
germany,Prostate cancer,2019,All Age Deaths,18265.0,High,13.4,738,,,,,,,,,
germany,Pulmonary Arterial Hypertension,2019,All Age Deaths,555.3,High,13.4,738,,,,,,,,,
germany,Pulmonary aspiration and foreign body in airway,2019,All Age Deaths,1488.4,High,13.4,738,,,,,,,,,
germany,Rheumatic heart disease,2019,All Age Deaths,6080.2,High,13.4,738,,,,,,,,,
germany,Stomach cancer,2019,All Age Deaths,12119.2,High,13.4,738,,,,,,,,,
germany,Testicular cancer,2019,All Age Deaths,215.7,High,13.4,738,,,,,,,,,
germany,Thyroid cancer,2019,All Age Deaths,876.8,High,13.4,738,,,,,,,,,
germany,Uterine cancer,2019,All Age Deaths,2463.5,High,13.4,738,,,,,,,,,
united kingdom,Acute lymphoid leukemia,2019,All Age Deaths,332.4,High,16.6,709,,,,,,,,,
united kingdom,Acute myeloid leukemia,2019,All Age Deaths,3533.2,High,16.6,709,,,,,,,,,
united kingdom,Bladder cancer,2019,All Age Deaths,7051.5,High,16.6,709,,,,,,,,,
united kingdom,Brain and central nervous system cancer,2019,All Age Deaths,5152.3,High,16.6,709,,,,,,,,,
united kingdom,Breast cancer,2019,All Age Deaths,14423.3,High,16.6,709,,,,,,,,,
united kingdom,Cervical cancer,2019,All Age Deaths,1381.0,High,16.6,709,,,,,,,,,
united kingdom,Chronic hepatitis B including cirrhosis,2019,All Age Deaths,519.7,High,16.6,709,,,,,,,,,
united kingdom,Chronic hepatitis C including cirrhosis,2019,All Age Deaths,734.7,High,16.6,709,,,,,,,,,
united kingdom,Chronic kidney disease due to diabetes mellitus type 1,2019,All Age Deaths,142.0,High,16.6,709,,,,,,,,,
united kingdom,Chronic kidney disease due to diabetes mellitus type 2,2019,All Age Deaths,1731.6,High,16.6,709,,,,,,,,,
united kingdom,Chronic kidney disease due to glomerulonephritis,2019,All Age Deaths,1332.1,High,16.6,709,,,,,,,,,
united kingdom,Chronic kidney disease due to hypertension,2019,All Age Deaths,1361.1,High,16.6,709,,,,,,,,,
united kingdom,Chronic kidney disease due to other and unspecified causes,2019,All Age Deaths,5310.6,High,16.6,709,,,,,,,,,
united kingdom,Chronic lymphoid leukemia,2019,All Age Deaths,1270.6,High,16.6,709,,,,,,,,,
united kingdom,Chronic myeloid leukemia,2019,All Age Deaths,268.6,High,16.6,709,,,,,,,,,
united kingdom,Chronic obstructive pulmonary disease,2019,All Age Deaths,40665.1,High,16.6,709,,,,,,,,,
united kingdom,Esophageal cancer,2019,All Age Deaths,9976.4,High,16.6,709,,,,,,,,,
united kingdom,Ischemic heart disease,2019,All Age Deaths,78264.1,High,16.6,709,,,,,,,,,
united kingdom,Ischemic stroke,2019,All Age Deaths,26034.6,High,16.6,709,,,,,,,,,
united kingdom,Kidney cancer,2019,All Age Deaths,5105.7,High,16.6,709,,,,,,,,,
united kingdom,Larynx cancer,2019,All Age Deaths,960.5,High,16.6,709,,,,,,,,,
united kingdom,Lip and oral cavity cancer,2019,All Age Deaths,2165.9,High,16.6,709,,,,,,,,,
united kingdom,Liver cancer due to NASH,2019,All Age Deaths,562.6,High,16.6,709,,,,,,,,,
united kingdom,Liver cancer due to alcohol use,2019,All Age Deaths,2403.6,High,16.6,709,,,,,,,,,
united kingdom,Liver cancer due to hepatitis B,2019,All Age Deaths,837.9,High,16.6,709,,,,,,,,,
united kingdom,Liver cancer due to hepatitis C,2019,All Age Deaths,2727.8,High,16.6,709,,,,,,,,,
united kingdom,Liver cancer due to other causes,2019,All Age Deaths,274.5,High,16.6,709,,,,,,,,,
united kingdom,Other chronic respiratory diseases,2019,All Age Deaths,482.7,High,16.6,709,,,,,,,,,
united kingdom,Other leukemia,2019,All Age Deaths,523.2,High,16.6,709,,,,,,,,,
united kingdom,Other malignant neoplasms,2019,All Age Deaths,3685.9,High,16.6,709,,,,,,,,,
united kingdom,Ovarian cancer,2019,All Age Deaths,4927.4,High,16.6,709,,,,,,,,,
united kingdom,Pancreatic cancer,2019,All Age Deaths,12213.8,High,16.6,709,,,,,,,,,
united kingdom,Prostate cancer,2019,All Age Deaths,15308.9,High,16.6,709,,,,,,,,,
united kingdom,Pulmonary Arterial Hypertension,2019,All Age Deaths,124.2,High,16.6,709,,,,,,,,,
united kingdom,Pulmonary aspiration and foreign body in airway,2019,All Age Deaths,595.2,High,16.6,709,,,,,,,,,
united kingdom,Rheumatic heart disease,2019,All Age Deaths,1158.9,High,16.6,709,,,,,,,,,
united kingdom,Stomach cancer,2019,All Age Deaths,6748.3,High,16.6,709,,,,,,,,,
united kingdom,Testicular cancer,2019,All Age Deaths,84.8,High,16.6,709,,,,,,,,,
united kingdom,Thyroid cancer,2019,All Age Deaths,489.6,High,16.6,709,,,,,,,,,
united kingdom,Uterine cancer,2019,All Age Deaths,2594.9,High,16.6,709,,,,,,,,,
mexico,Acute lymphoid leukemia,2019,All Age Deaths,197.1,Upper-middle,42.3,234,,,,,,,,,
mexico,Acute myeloid leukemia,2019,All Age Deaths,180.4,Upper-middle,42.3,234,,,,,,,,,
mexico,Bladder cancer,2019,All Age Deaths,181.6,Upper-middle,42.3,234,,,,,,,,,
mexico,Brain and central nervous system cancer,2019,All Age Deaths,277.4,Upper-middle,42.3,234,,,,,,,,,
mexico,Breast cancer,2019,All Age Deaths,932.8,Upper-middle,42.3,234,,,,,,,,,
mexico,Cervical cancer,2019,All Age Deaths,404.5,Upper-middle,42.3,234,,,,,,,,,
mexico,Chronic hepatitis B including cirrhosis,2019,All Age Deaths,153.4,Upper-middle,42.3,234,,,,,,,,,
mexico,Chronic hepatitis C including cirrhosis,2019,All Age Deaths,994.9,Upper-middle,42.3,234,,,,,,,,,
mexico,Chronic kidney disease due to diabetes mellitus type 1,2019,All Age Deaths,249.6,Upper-middle,42.3,234,,,,,,,,,
mexico,Chronic kidney disease due to diabetes mellitus type 2,2019,All Age Deaths,1112.0,Upper-middle,42.3,234,,,,,,,,,
mexico,Chronic kidney disease due to glomerulonephritis,2019,All Age Deaths,1168.2,Upper-middle,42.3,234,,,,,,,,,
mexico,Chronic kidney disease due to hypertension,2019,All Age Deaths,1117.3,Upper-middle,42.3,234,,,,,,,,,
mexico,Chronic kidney disease due to other and unspecified causes,2019,All Age Deaths,1137.7,Upper-middle,42.3,234,,,,,,,,,
mexico,Chronic lymphoid leukemia,2019,All Age Deaths,36.7,Upper-middle,42.3,234,,,,,,,,,
mexico,Chronic myeloid leukemia,2019,All Age Deaths,36.9,Upper-middle,42.3,234,,,,,,,,,
mexico,Chronic obstructive pulmonary disease,2019,All Age Deaths,2475.5,Upper-middle,42.3,234,,,,,,,,,
mexico,Esophageal cancer,2019,All Age Deaths,144.4,Upper-middle,42.3,234,,,,,,,,,
mexico,Ischemic heart disease,2019,All Age Deaths,11406.6,Upper-middle,42.3,234,,,,,,,,,
mexico,Ischemic stroke,2019,All Age Deaths,1507.1,Upper-middle,42.3,234,,,,,,,,,
mexico,Kidney cancer,2019,All Age Deaths,388.0,Upper-middle,42.3,234,,,,,,,,,
mexico,Larynx cancer,2019,All Age Deaths,56.5,Upper-middle,42.3,234,,,,,,,,,
mexico,Lip and oral cavity cancer,2019,All Age Deaths,91.1,Upper-middle,42.3,234,,,,,,,,,
mexico,Liver cancer due to NASH,2019,All Age Deaths,19.3,Upper-middle,42.3,234,,,,,,,,,
mexico,Liver cancer due to alcohol use,2019,All Age Deaths,78.3,Upper-middle,42.3,234,,,,,,,,,
mexico,Liver cancer due to hepatitis B,2019,All Age Deaths,29.7,Upper-middle,42.3,234,,,,,,,,,
mexico,Liver cancer due to hepatitis C,2019,All Age Deaths,247.7,Upper-middle,42.3,234,,,,,,,,,
mexico,Liver cancer due to other causes,2019,All Age Deaths,19.9,Upper-middle,42.3,234,,,,,,,,,
mexico,Other chronic respiratory diseases,2019,All Age Deaths,57.2,Upper-middle,42.3,234,,,,,,,,,
mexico,Other leukemia,2019,All Age Deaths,37.6,Upper-middle,42.3,234,,,,,,,,,
mexico,Other malignant neoplasms,2019,All Age Deaths,287.1,Upper-middle,42.3,234,,,,,,,,,
mexico,Ovarian cancer,2019,All Age Deaths,406.0,Upper-middle,42.3,234,,,,,,,,,
mexico,Pancreatic cancer,2019,All Age Deaths,628.7,Upper-middle,42.3,234,,,,,,,,,
mexico,Prostate cancer,2019,All Age Deaths,739.3,Upper-middle,42.3,234,,,,,,,,,
mexico,Pulmonary Arterial Hypertension,2019,All Age Deaths,10.3,Upper-middle,42.3,234,,,,,,,,,
mexico,Pulmonary aspiration and foreign body in airway,2019,All Age Deaths,138.4,Upper-middle,42.3,234,,,,,,,,,
